"Date",Gross $,Customers
20110410,849.87,109
20110411,816.86,102
20110412,643.20,98
20110413,608.11,94
20110414,606.92,77
20110415,478.85,67
20110416,586.07,75
20110417,627.42,87
20110418,732.70,91
20110419,805.88,83
20110420,566.08,77
20110421,843.77,91
20110422,621.09,69
20110423,699.89,100
20110424,561.62,61
20110425,649.09,85
20110426,832.85,105
20110427,769.00,102
20110428,607.10,90
20110429,637.92,91
20110430,831.59,102
20110501,970.54,103
20110502,673.34,93
20110503,879.39,94
20110504,759.37,98
20110505,665.37,92
20110506,644.77,87
20110507,679.68,88
20110508,688.45,106
20110509,859.23,108
20110510,818.01,116
20110511,631.51,76
20110512,674.52,102
20110513,671.57,82
20110514,531.11,67
20110515,679.49,83
20110516,765.03,100
20110517,626.33,81
20110518,797.33,102
20110519,829.99,105
20110520,647.91,101
20110521,570.81,85
20110522,716.08,90
20110523,983.34,133
20110524,816.43,105
20110525,978.36,105
20110526,814.43,85
20110527,710.08,86
20110528,510.59,70
20110529,944.77,118
20110530,1010.86,123
20110531,701.97,103
20110601,658.58,92
20110602,843.88,93
20110603,625.20,94
20110604,861.68,104
20110605,856.04,100
20110606,653.77,96
20110607,1017.81,117
20110608,713.14,98
20110609,808.98,91
20110610,703.04,89
20110611,743.88,71
20110612,466.15,67
20110613,644.10,94
20110614,926.45,111
20110615,642.57,81
20110616,734.80,104
20110617,780.14,108
20110618,741.57,100
20110619,636.34,72
20110620,597.34,87
20110621,733.21,101
20110622,807.13,105
20110623,722.88,87
20110624,567.90,94
20110625,692.07,86
20110626,644.30,81
20110627,799.25,107
20110628,865.18,115
20110629,767.75,107
20110630,635.89,80
20110701,802.55,101
20110702,730.47,90
20110703,636.27,76
20110704,600.97,100
20110705,771.64,107
20110706,809.39,102
20110707,916.37,119
20110708,522.32,84
20110709,514.61,83
20110710,830.40,89
20110711,728.79,113
20110712,643.39,92
20110713,698.68,86
20110714,859.01,104
20110715,679.15,97
20110716,642.73,84
20110717,576.15,79
20110718,697.20,106
20110719,751.48,113
20110720,753.23,93
20110721,677.50,96
20110722,671.07,93
20110723,671.31,82
20110724,855.50,90
20110725,894.49,114
20110726,672.58,98
20110727,701.84,98
20110728,575.46,79
20110729,691.78,103
20110730,496.74,71
20110731,724.78,96
20110801,793.26,96
20110802,668.06,94
20110803,734.26,78
20110804,495.92,84
20110805,489.49,67
20110806,447.49,71
20110807,682.39,97
20110808,622.99,81
20110809,836.97,117
20110810,642.74,80
20110811,755.01,99
20110812,571.49,86
20110813,459.91,64
20110814,660.15,90
20110815,812.56,101
20110816,796.38,113
20110817,666.89,91
20110818,611.89,85
20110819,465.78,74
20110820,601.41,92
20110821,702.59,86
20110822,877.73,96
20110823,760.82,100
20110824,684.23,83
20110825,657.89,90
20110826,682.35,95
20110827,529.42,76
20110828,617.94,92
20110829,810.28,99
20110830,883.28,103
20110831,761.56,96
20110901,657.64,87
20110902,614.67,83
20110903,509.80,70
20110904,559.68,79
20110905,606.99,69
20110906,647.77,90
20110907,629.35,97
20110908,549.28,88
20110909,418.42,57
20110910,511.57,72
20110911,561.39,76
20110912,701.69,95
20110913,820.83,102
20110914,620.40,85
20110915,686.63,88
20110916,728.18,81
20110917,483.88,76
20110918,780.33,82
20110919,786.88,113
20110920,994.47,112
20110921,844.10,98
20110922,691.77,86
20110923,555.08,78
20110924,769.35,108
20110925,781.69,93
20110926,810.56,95
20110927,666.84,95
20110928,562.15,90
20110929,824.04,97
20110930,574.70,83
20111001,714.54,83
20111002,975.98,107
20111003,751.41,107
20111004,857.77,110
20111005,845.61,105
20111006,852.51,100
20111007,533.24,75
20111008,757.04,105
20111009,842.83,93
20111010,918.24,106
20111011,907.50,107
20111012,558.97,84
20111013,706.21,96
20111014,562.35,81
20111015,610.37,81
20111016,1002.47,119
20111017,738.80,94
20111018,629.47,92
20111019,626.55,79
20111020,678.88,78
20111021,567.73,80
20111022,872.14,98
20111023,798.07,100
20111024,1061.42,104
20111025,657.62,101
20111026,590.77,84
20111027,729.15,99
20111028,698.97,84
20111029,598.29,87
20111030,542.27,67
20111031,696.48,97
20111101,979.84,109
20111102,700.42,100
20111103,725.14,94
20111104,926.07,100
20111105,838.32,91
20111106,627.10,80
20111107,690.62,85
20111108,807.53,88
20111109,742.37,91
20111110,620.26,74
20111111,620.66,75
20111112,729.41,88
20111113,806.18,87
20111114,861.79,78
20111115,882.80,101
20111116,744.70,96
20111117,578.90,75
20111118,728.99,89
20111119,850.92,79
20111120,957.81,94
20111121,735.50,87
20111122,654.07,80
20111123,833.25,102
20111124,123.77,17
20111125,557.32,64
20111126,405.96,56
20111127,725.77,72
20111128,754.26,93
20111129,784.08,95
20111130,674.20,85
20111201,581.52,76
20111202,674.50,85
20111203,645.17,77
20111204,661.64,82
20111205,917.03,98
20111206,622.65,84
20111207,780.10,85
20111208,546.12,80
20111209,582.23,66
20111210,516.97,58
20111211,481.62,56
20111212,660.12,86
20111213,629.84,68
20111214,586.12,74
20111215,649.03,74
20111216,587.15,60
20111217,409.48,52
20111218,413.70,62
20111219,607.85,74
20111220,445.70,61
20111221,376.36,52
20111222,332.12,53
20111223,342.49,35
20111224,146.76,24
20111225,123.62,19
20111226,254.93,32
20111227,356.01,46
20111228,335.95,56
20111229,530.66,65
20111230,523.53,55
20111231,395.48,53
20120101,670.95,63
20120102,771.79,80
20120103,881.62,95
20120104,837.28,94
20120105,690.08,88
20120106,754.18,87
20120107,723.12,75
20120108,797.74,85
20120109,974.71,114
20120110,911.49,109
20120111,727.16,93
20120112,602.11,81
20120113,781.57,101
20120114,804.43,86
20120115,707.92,77
20120116,707.42,89
20120117,953.90,110
20120118,802.39,77
20120119,992.59,80
20120120,908.06,89
20120121,705.90,74
20120122,730.62,74
20120123,1026.46,103
20120124,747.63,78
20120125,674.74,85
20120126,718.15,90
20120127,758.73,94
20120128,714.80,85
20120129,844.80,91
20120130,886.59,100
20120131,797.22,98
20120201,822.53,95
20120202,815.72,92
20120203,597.22,79
20120204,494.36,79
20120205,637.05,73
20120206,804.24,97
20120207,1095.33,108
20120208,817.86,93
20120209,807.87,94
20120210,660.57,82
20120211,707.08,76
20120212,907.43,96
20120213,808.75,92
20120214,893.98,104
20120215,696.67,108
20120216,771.76,85
20120217,695.41,88
20120218,830.20,83
20120219,740.61,91
20120220,876.86,91
20120221,818.66,101
20120222,834.26,101
20120223,753.98,89
20120224,739.71,95
20120225,1090.59,92
20120226,757.82,83
20120227,978.15,93
20120228,817.08,88
20120229,812.21,97
20120301,866.60,100
20120302,570.55,79
20120303,620.26,79
20120304,812.69,106
20120305,936.74,106
20120306,875.47,108
20120307,803.97,96
20120308,761.87,93
20120309,793.93,110
20120310,618.51,83
20120311,864.76,106
20120312,1015.03,132
20120313,893.20,111
20120314,831.56,119
20120315,770.04,104
20120316,764.74,88
20120317,524.94,73
20120318,714.33,92
20120319,685.21,95
20120320,958.25,106
20120321,828.26,96
20120322,651.89,88
20120323,698.48,106
20120324,886.14,92
20120325,882.90,107
20120326,1053.05,126
20120327,1018.42,120
20120328,1167.63,121
20120329,868.97,111
20120330,757.39,103
20120331,824.02,99
20120401,1062.99,103
20120402,797.84,99
20120403,858.44,108
20120404,1055.09,115
20120405,863.89,91
20120406,797.44,88
20120407,753.38,92
20120408,1015.99,101
20120409,1116.33,125
20120410,853.71,87
20120411,972.04,103
20120412,770.08,95
20120413,758.13,107
20120414,975.94,101
20120415,831.72,101
20120416,880.67,111
20120417,996.34,121
20120418,850.97,103
20120419,1061.24,128
20120420,713.74,98
20120421,704.95,89
20120422,1133.25,135
20120423,961.01,101
20120424,1146.89,116
20120425,977.75,115
20120426,631.33,89
20120427,735.84,96
20120428,1013.10,90
20120429,902.23,104
20120430,930.36,117
20120501,947.24,103
20120502,865.83,105
20120503,940.40,119
20120504,862.09,97
20120505,1128.26,112
20120506,1061.03,119
20120507,912.11,111
20120508,982.75,122
20120509,937.56,96
20120510,683.98,104
20120511,672.63,93
20120512,754.31,88
20120513,952.63,112
20120514,1142.03,140
20120515,980.52,120
20120516,1115.78,116
20120517,1066.08,125
20120518,589.16,92
20120519,897.22,98
20120520,922.81,132
20120521,1142.42,132
20120522,1124.57,121
20120523,1074.01,138
20120524,1054.16,123
20120525,937.49,112
20120526,820.12,94
20120527,1108.24,130
20120528,710.97,96
20120529,1053.08,129
20120530,1064.80,134
20120531,952.86,96
20120601,793.65,103
20120602,1079.79,115
20120603,849.16,94
20120604,1231.89,135
20120605,956.81,122
20120606,1103.36,118
20120607,915.15,116
20120608,835.59,96
20120609,686.08,101
20120610,1035.84,113
20120611,791.82,106
20120612,881.67,129
20120613,779.18,110
20120614,937.62,106
20120615,623.80,80
20120616,906.45,99
20120617,1046.61,112
20120618,1191.56,140
