"Date",Gross $,Customers
20101209,59.24,9
20101210,45.25,11
20101211,20.30,3
20101212,12.49,3
20101213,107.38,7
20101214,37.26,6
20101215,8.00,1
20101216,15.82,4
20101217,42.18,6
20101218,3.99,1
20101219,25.20,2
20101220,17.50,4
20101221,27.84,2
20101222,14.22,4
20101223,56.19,8
20101224,0.00,0
20101225,0.00,0
20101226,26.48,3
20101227,42.70,8
20101228,27.10,3
20101229,15.50,2
20101230,36.69,9
20101231,15.50,1
20110101,75.62,9
20110102,20.72,3
20110103,21.05,6
20110104,117.11,10
20110105,11.20,3
20110106,187.23,21
20110107,6.80,3
20110108,55.89,9
20110109,25.25,4
20110110,17.15,4
20110111,68.36,8
20110112,90.63,11
20110113,68.61,14
20110114,45.65,5
20110115,31.91,6
20110116,39.65,8
20110117,58.62,8
20110118,193.72,16
20110119,51.94,9
20110120,149.12,19
20110121,75.29,9
20110122,45.75,9
20110123,69.29,6
20110124,129.01,14
20110125,125.44,17
20110126,93.93,9
20110127,43.52,6
20110128,96.84,18
20110129,91.27,10
20110130,49.48,9
20110131,93.12,9
20110201,70.98,12
20110202,32.66,6
20110203,54.77,5
20110204,87.03,12
20110205,6.35,3
20110206,64.13,5
20110207,205.44,10
20110208,127.27,10
20110209,91.82,12
20110210,81.84,11
20110211,37.27,6
20110212,93.75,11
20110213,22.17,5
20110214,43.47,10
20110215,62.57,14
20110216,58.61,10
20110217,139.67,16
20110218,86.96,18
20110219,75.80,10
20110220,93.55,9
20110221,116.77,16
20110222,124.44,12
20110223,76.47,14
20110224,34.85,7
20110225,125.71,15
20110226,81.19,10
20110227,66.74,10
20110228,78.37,14
20110301,71.70,7
20110302,154.63,13
20110303,144.38,21
20110304,160.57,24
20110305,100.56,16
20110306,33.25,7
20110307,56.89,9
20110308,149.71,17
20110309,170.78,16
20110310,108.81,17
20110311,48.25,10
20110312,75.59,12
20110313,297.01,27
20110314,117.81,15
20110315,134.20,14
20110316,141.27,18
20110317,100.12,15
20110318,82.82,11
20110319,79.64,6
20110320,61.92,8
20110321,5.75,1
20110322,5.50,4
20110323,127.56,14
20110324,82.29,11
20110325,36.40,7
20110326,72.22,7
20110327,56.58,11
20110328,122.61,11
20110329,163.05,16
20110330,144.18,17
20110331,117.03,19
20110401,48.82,12
20110402,82.63,15
20110403,86.89,12
20110404,110.09,14
20110405,116.65,15
20110406,137.01,20
20110407,110.59,11
20110408,66.64,13
20110409,155.61,15
20110410,197.20,21
20110411,113.14,11
20110412,136.46,12
20110413,147.86,18
20110414,147.68,22
20110415,180.57,29
20110416,110.98,19
20110417,140.31,21
20110418,151.30,33
20110419,186.90,21
20110420,105.86,20
20110421,179.26,29
20110422,160.41,33
20110423,202.13,27
20110424,155.66,21
20110425,202.03,25
20110426,224.16,24
20110427,82.30,17
20110428,243.44,34
20110429,207.27,24
20110430,164.53,26
20110501,284.41,29
20110502,327.46,38
20110503,125.27,23
20110504,173.81,28
20110505,123.96,25
20110506,252.49,42
20110507,235.85,32
20110508,186.82,32
20110509,132.31,15
20110510,346.27,45
20110511,212.08,36
20110512,225.93,29
20110513,214.58,28
20110514,235.82,28
20110515,255.78,34
20110516,168.66,26
20110517,233.86,30
20110518,169.36,20
20110519,290.95,37
20110520,228.44,33
20110521,156.36,29
20110522,229.45,36
20110523,328.85,47
20110524,278.29,35
20110525,125.84,21
20110526,277.56,34
20110527,270.36,43
20110528,209.45,29
20110529,212.73,29
20110530,256.88,37
20110531,291.95,40
20110601,226.33,40
20110602,285.75,41
20110603,347.22,51
20110604,312.30,51
20110605,261.72,38
20110606,274.49,37
20110607,271.08,42
20110608,226.00,39
20110609,196.56,37
20110610,279.22,41
20110611,160.00,33
20110612,187.44,29
20110613,99.74,23
20110614,142.79,24
20110615,156.40,24
20110616,197.75,23
20110617,173.90,27
20110618,170.82,35
20110619,146.83,21
20110620,140.30,21
20110621,198.44,23
20110622,126.18,20
20110623,164.70,18
20110624,238.41,33
20110625,251.81,33
20110626,191.07,31
20110627,151.71,24
20110628,114.11,16
20110629,230.30,25
20110630,147.19,19
20110701,256.97,40
20110702,257.75,35
20110703,273.67,38
20110704,230.95,34
20110705,132.29,23
20110706,155.34,25
20110707,72.16,17
20110708,175.92,26
20110709,178.84,30
20110710,94.94,20
20110711,254.87,50
20110712,135.44,24
20110713,324.72,32
20110714,189.05,30
20110715,191.12,44
20110716,180.93,31
20110717,226.20,37
20110718,181.10,31
20110719,243.62,38
20110720,216.07,36
20110721,200.89,31
20110722,155.47,27
20110723,173.39,31
20110724,215.60,27
20110725,156.72,23
20110726,232.86,40
20110727,175.91,26
20110728,92.33,21
20110729,260.04,36
20110730,282.81,44
20110731,148.46,28
20110801,252.25,32
